no,category,subcategory,level,question,A,B,C,D,correct,explanation,terms
22,A. Kiến thức cơ khí cơ bản,Corrosion,Basic,Passivation thường áp dụng cho nhóm vật liệu nào?,Thép không gỉ,Gỗ,Nhựa ABS,Kính,A,Passivation phổ biến cho thép không gỉ để cải thiện khả năng chống ăn mòn.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
23,A. Kiến thức cơ khí cơ bản,Aluminum,Basic,Anodizing nhôm là quá trình gì?,Tạo lớp oxide có kiểm soát trên bề mặt,Mạ vàng bằng cơ học,Nhiệt luyện thép,Hàn nhôm,A,Anodizing tạo lớp oxide bảo vệ và có thể tạo màu.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
24,A. Kiến thức cơ khí cơ bản,Inspection,Basic,Một kích thước nằm ngoài giới hạn bản vẽ được đánh giá thế nào?,Luôn OK,NG nếu không có yêu cầu/điều kiện chấp nhận khác,Không cần đo lại,Tự sửa số đo,B,Kích thước ngoài giới hạn dung sai là không phù hợp.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
25,A. Kiến thức cơ khí cơ bản,Quality,Basic,Traceability trong kỹ thuật nghĩa gần nhất là gì?,Khả năng truy xuất nguồn gốc và liên kết dữ liệu,Tăng tốc độ máy,Tăng độ bóng,Giảm số bản vẽ,A,"Traceability cho phép truy ngược dữ liệu, revision và nguồn liên quan.",technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
26,B. Đọc bản vẽ cơ khí,Drawing symbols,Basic,Kích thước cơ bản (basic dimension) trong GD&T thường được biểu diễn như thế nào?,Trong khung chữ nhật,Trong vòng tròn,Gạch chân,Nét đứt,A,Basic dimension thường được bao bởi khung chữ nhật.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
27,B. Đọc bản vẽ cơ khí,Drawing symbols,Basic,Một kích thước reference thường dùng để làm gì?,"Tham khảo, không phải kích thước điều khiển trực tiếp",Luôn là dung sai chặt nhất,Thay datum,Thay vật liệu,A,Reference dimension chủ yếu cung cấp thông tin tham khảo.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
28,B. Đọc bản vẽ cơ khí,Drawing,Basic,Title block thường chứa thông tin nào?,"Tên chi tiết, mã, revision, vật liệu hoặc thông tin bản vẽ",Chỉ màu sắc,Chỉ số máy CNC,Chỉ tên người đo,A,Title block thường chứa thông tin nhận dạng và kiểm soát bản vẽ.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
29,B. Đọc bản vẽ cơ khí,Revision,Intermediate,Revision trên bản vẽ dùng để làm gì?,Nhận biết phiên bản thay đổi,Đo độ phẳng,Xác định tốc độ cắt,Xác định máy đo,A,Revision giúp phân biệt và truy xuất phiên bản.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
30,B. Đọc bản vẽ cơ khí,Revision,Intermediate,"Khi nhận bản vẽ khách hàng mới revision, việc đầu tiên nên làm là gì?",Kiểm tra/đăng ký revision theo quy trình kiểm soát tài liệu,Tự xóa bản cũ,Gia công ngay,Đổi tên ngẫu nhiên,A,Cần kiểm soát phiên bản trước khi sử dụng.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
31,B. Đọc bản vẽ cơ khí,Drawing,Basic,General tolerance có vai trò gì?,Áp dụng cho kích thước không có dung sai riêng nếu tiêu chuẩn bản vẽ quy định,Luôn ghi đè dung sai riêng,Chỉ áp dụng cho vật liệu,Chỉ áp dụng cho ren,A,Dung sai chung thường áp dụng cho kích thước không có dung sai riêng.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
32,B. Đọc bản vẽ cơ khí,Drawing,Basic,"Nếu kích thước có dung sai riêng và đồng thời có dung sai chung, thông thường ưu tiên gì?",Dung sai riêng trên kích thước,Dung sai chung,Tự chọn,Không có dung sai,A,Dung sai riêng cụ thể thường được ưu tiên.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
33,B. Đọc bản vẽ cơ khí,Section,Intermediate,Đường hatch trong mặt cắt thường biểu thị gì?,Vùng vật liệu bị cắt,Đường tâm,Đường kích thước,Đường ren,A,Hatch giúp nhận biết vùng vật liệu bị mặt phẳng cắt đi qua.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
34,B. Đọc bản vẽ cơ khí,Hole,Intermediate,Callout Ø10 THRU nghĩa là gì?,Lỗ đường kính 10 mm xuyên qua chi tiết,Lỗ sâu 10 mm,Ren M10,Bán kính 10,A,THRU nghĩa là lỗ xuyên suốt.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
35,B. Đọc bản vẽ cơ khí,Hole,Intermediate,Blind hole là gì?,Lỗ không xuyên suốt,Lỗ xuyên suốt,Lỗ ren ngoài,Lỗ hình vuông,A,Blind hole có đáy và không xuyên qua toàn bộ chi tiết.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
36,B. Đọc bản vẽ cơ khí,Hole,Intermediate,Counterbore thường tạo gì?,Hốc trụ đồng tâm với lỗ,Vát mép,Ren ngoài,Rãnh then,A,Counterbore tạo hốc trụ để đầu vít/bu lông nằm chìm.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
37,B. Đọc bản vẽ cơ khí,Hole,Intermediate,Countersink thường tạo gì?,Hốc côn,Hốc trụ,Rãnh vuông,Mặt phẳng chuẩn,A,Countersink là hốc dạng côn.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
38,B. Đọc bản vẽ cơ khí,Chamfer,Intermediate,1×45° trên mép thường có nghĩa gì?,Vát mép 1 mm ở góc 45°,Bo R1,Độ nhám 1,Độ sâu 45 mm,A,Đây là cách ghi phổ biến cho chamfer.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
39,B. Đọc bản vẽ cơ khí,Fillet,Intermediate,R2 thường yêu cầu gì?,Bo bán kính 2 mm,Vát 2 mm,Đường kính 2 mm,Ren 2 mm,A,R2 là bán kính bo 2 mm.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
40,B. Đọc bản vẽ cơ khí,Thread,Intermediate,M6×1-6H thường chứa thông tin nào?,"Ren trong hệ mét, đường kính danh nghĩa 6 mm, bước 1 mm, cấp dung sai 6H",Ren ngoài 6 mm,Lỗ Ø1,Độ nhám 6H,A,M6×1 là kích thước ren; 6H là cấp dung sai ren trong.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
41,B. Đọc bản vẽ cơ khí,Drawing,Basic,Ký hiệu depth trên lỗ mù cho biết gì?,Chiều sâu gia công/đặc tính được chỉ định,Đường kính ngoài,Độ nhám,Datum,A,Depth dùng để chỉ chiều sâu.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
42,B. Đọc bản vẽ cơ khí,Drawing,Basic,Center mark/crosshair trong bản vẽ thường giúp gì?,Xác định tâm đặc tính tròn/lỗ,Xác định vật liệu,Xác định độ cứng,Xác định revision,A,Center mark giúp xác định tâm.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
43,B. Đọc bản vẽ cơ khí,Drawing,Basic,Kích thước chuỗi (chain dimensioning) có nhược điểm gì?,Có thể tích lũy dung sai,Không thể đo,Không dùng được CNC,Không có đơn vị,A,Dung sai các đoạn có thể cộng dồn theo chuỗi.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
44,B. Đọc bản vẽ cơ khí,Tolerance,Intermediate,Baseline dimensioning thường có lợi điểm gì?,Giảm ảnh hưởng tích lũy từ các kích thước liên tiếp,Không cần datum,Không cần dung sai,Chỉ dùng cho ren,A,Các kích thước cùng tham chiếu một đường/điểm cơ sở.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
45,B. Đọc bản vẽ cơ khí,Drawing,Basic,Một drawing note có thể quy định điều gì?,"Yêu cầu chung như vật liệu, xử lý, kiểm tra hoặc gia công",Chỉ kích thước X,Chỉ revision,Chỉ tên người thiết kế,A,Notes có thể chứa nhiều yêu cầu kỹ thuật chung.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
46,B. Đọc bản vẽ cơ khí,Inspection,Intermediate,"Khi drawing yêu cầu một đặc tính hình học, chỉ đo kích thước tuyến tính có đủ không?",Không nhất thiết,Luôn đủ,Luôn không cần đo,Chỉ cần nhìn bằng mắt,A,GD&T kiểm soát các đặc tính hình học và cần phương pháp đo phù hợp.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
47,B. Đọc bản vẽ cơ khí,Drawing,Basic,Đường kích thước thường kết thúc bằng gì?,Mũi tên/đầu mũi tên theo tiêu chuẩn,Hình vuông bắt buộc,Vòng tròn,Datum A,A,Đường kích thước thường có arrowheads.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
48,B. Đọc bản vẽ cơ khí,Drawing,Basic,Mục đích chính của drawing review trước sản xuất là gì?,"Xác nhận yêu cầu kỹ thuật, khả năng chế tạo và điểm kiểm soát",Chỉ kiểm tra chính tả,Chỉ kiểm tra màu,Chỉ đổi tên file,A,Review giúp phát hiện vấn đề trước sản xuất.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
49,B. Đọc bản vẽ cơ khí,Document control,Intermediate,Không nên sử dụng file customer drawing nào khi revision mới đã phát hành?,Bản cũ chưa được xác nhận còn hiệu lực,Bản hiện hành,Bản được kiểm soát,Bản đã phê duyệt,A,Bản cũ phải được kiểm soát trạng thái để tránh dùng nhầm.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
50,C. Dung sai kích thước,Limits,Intermediate,50 ±0.05 có giới hạn nào?,49.95–50.05,49.90–50.10,50.00–50.05,49.50–50.50,A,Cộng/trừ 0.05 vào kích thước danh nghĩa 50.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
51,C. Dung sai kích thước,Limits,Intermediate,20 +0.02/-0.00 có giới hạn nào?,20.00–20.02,19.98–20.02,19.98–20.00,20.02–20.04,A,Dung sai trên +0.02 và dưới 0.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
52,C. Dung sai kích thước,Limits,Intermediate,30 +0.00/-0.03 có giới hạn nào?,29.97–30.00,30.00–30.03,29.95–30.05,29.97–30.03,A,Giới hạn dưới = 30-0.03; giới hạn trên = 30.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
53,C. Dung sai kích thước,Tolerance,Intermediate,Dung sai kích thước tổng cộng của 50 ±0.05 là bao nhiêu?,0.05,0.10,0.15,1.00,B,Khoảng từ 49.95 đến 50.05 là 0.10 mm.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
54,C. Dung sai kích thước,Tolerance,Intermediate,Kích thước 100 ±0.2 có tolerance zone width bằng bao nhiêu?,0.2,0.4,100.2,99.8,B,Giới hạn 99.8 và 100.2 tạo vùng rộng 0.4 mm.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
55,C. Dung sai kích thước,Limits,Intermediate,Kích thước thực 20.018 với yêu cầu 20.00–20.02 là gì?,OK,NG,Không xác định,Luôn cần CMM,A,20.018 nằm trong giới hạn.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
56,C. Dung sai kích thước,Limits,Intermediate,Kích thước thực 20.025 với yêu cầu 20.00–20.02 là gì?,OK,NG,OK nếu máy CNC tốt,Không thể kết luận,B,20.025 vượt giới hạn trên.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
57,C. Dung sai kích thước,Limits,Intermediate,Kích thước thực 19.995 với yêu cầu 20 +0.02/-0.00 là gì?,OK,NG,Chỉ NG nếu Ra xấu,Không xác định,B,Giới hạn dưới là 20.00 mm.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
58,C. Dung sai kích thước,Fits,Intermediate,Clearance fit nghĩa là gì?,Luôn có khe hở trong điều kiện thiết kế quy định,Luôn có độ dôi,Không có dung sai,Chỉ dùng cho ren,A,Clearance fit được thiết kế để có khe hở.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
59,C. Dung sai kích thước,Fits,Intermediate,Interference fit nghĩa là gì?,Có độ dôi/cản trở khi lắp,Luôn có khe hở,Không có tiếp xúc,Chỉ dùng cho nhựa,A,Interference fit yêu cầu kích thước gây độ dôi.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
60,C. Dung sai kích thước,Fits,Intermediate,Transition fit có đặc điểm gì?,Có thể cho khe hở nhỏ hoặc độ dôi nhỏ tùy kích thước thực,Luôn khe hở lớn,Luôn độ dôi lớn,Không có dung sai,A,Transition fit nằm giữa clearance và interference.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
61,C. Dung sai kích thước,ISO fits,Intermediate,"Trong hệ ISO, H cho lỗ thường có sai lệch dưới bằng gì?",0,-IT,+IT,Không xác định,A,H hole có lower deviation bằng 0.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
62,C. Dung sai kích thước,ISO fits,Intermediate,"Trong hệ ISO, h cho trục thường có sai lệch trên bằng gì?",0,+IT,-IT,+0.5,A,h shaft có upper deviation bằng 0.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
63,C. Dung sai kích thước,ISO fits,Intermediate,Ký hiệu 6H thường liên quan đến gì?,Cấp dung sai ren trong,Độ nhám,Độ cứng,Vật liệu,A,6H là class/tolerance position cho ren trong hệ mét.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
64,C. Dung sai kích thước,ISO fits,Intermediate,IT grade biểu thị chủ yếu gì?,Cấp dung sai kích thước,Loại vật liệu,Độ nhám,Kiểu ren,A,IT grade là cấp dung sai tiêu chuẩn.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
65,C. Dung sai kích thước,Stack-up,Intermediate,"Trong worst-case tolerance stack-up, các dung sai tuyến tính cùng chiều thường được xử lý thế nào?",Cộng đại số theo chiều bất lợi,Luôn lấy trung bình,Nhân với nhau,Bỏ qua,A,Worst-case xét tổ hợp bất lợi nhất.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
66,C. Dung sai kích thước,Stack-up,Intermediate,20 ±0.1 + 30 ±0.2: kích thước tổng danh nghĩa là?,50,49,51,5,A,20 + 30 = 50.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
67,C. Dung sai kích thước,Stack-up,Intermediate,20 ±0.1 + 30 ±0.2: tổng dung sai theo worst-case là?,±0.1,±0.2,±0.3,±0.4,C,Sai lệch cực đại cùng chiều: 0.1+0.2=0.3.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
68,C. Dung sai kích thước,Stack-up,Intermediate,20 ±0.1 - 30 ±0.2: biên sai lệch worst-case của hiệu là?,±0.1,±0.2,±0.3,±0.4,C,"Khi xét worst-case, độ lớn dung sai vẫn cộng: 0.1+0.2.",technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
69,C. Dung sai kích thước,Stack-up,Intermediate,"Một chuỗi 4 kích thước đều ±0.05, worst-case tổng tolerance magnitude là?",±0.05,±0.10,±0.20,±0.40,C,Bốn thành phần ×0.05 = 0.20.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
70,C. Dung sai kích thước,Statistical,Intermediate,RSS stack-up khác worst-case ở điểm nào?,Dùng căn tổng bình phương dung sai/độ lệch chuẩn theo mô hình thống kê,Luôn cho kết quả lớn hơn,Không cần giả định,Chỉ dùng cho ren,A,"RSS là phương pháp thống kê, thường nhỏ hơn worst-case khi giả định phù hợp.",technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
71,C. Dung sai kích thước,Hole shaft,Intermediate,Hole Ø20 H7 và shaft Ø20 h6 có đặc trưng gì?,Clearance fit,Interference fit,Không thể lắp,Không có dung sai,A,H7/h6 tạo khe hở vì H hole không nhỏ hơn nominal và h shaft không lớn hơn nominal.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
72,C. Dung sai kích thước,Hole shaft,Intermediate,Hole Ø20 H7 có kích thước thấp nhất theo nguyên tắc H là?,20.000 mm,19.900 mm,20.100 mm,Không thể biết nếu thiếu IT,A,Lower deviation của H = 0; giới hạn dưới = nominal.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
73,C. Dung sai kích thước,Limits,Intermediate,"Nếu lower limit = 9.95 và upper limit = 10.05, nominal target thường là?",10.00,9.95,10.05,20.00,A,Nominal nằm giữa hai giới hạn trong ví dụ đối xứng.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
74,C. Dung sai kích thước,Tolerance,Intermediate,Tightening tolerance nghĩa là gì?,Giảm độ rộng vùng dung sai,Tăng dung sai,Đổi vật liệu,Đổi datum,A,Tight tolerance làm vùng cho phép nhỏ hơn.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
75,C. Dung sai kích thước,Tolerance,Intermediate,Dung sai quá chặt có thể gây ảnh hưởng gì?,Tăng chi phí gia công/đo và giảm khả năng sản xuất,Luôn giảm chi phí,Không ảnh hưởng,Tăng độ cứng vật liệu,A,Dung sai chặt thường yêu cầu quy trình và kiểm soát cao hơn.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
76,C. Dung sai kích thước,Tolerance,Intermediate,Dung sai quá rộng có thể gây gì?,Chức năng/lắp ráp không đảm bảo,Luôn tăng độ chính xác,Giảm mọi rủi ro,Không ảnh hưởng,A,Dung sai phải phù hợp chức năng.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
77,C. Dung sai kích thước,Datum,Intermediate,Datum kích thước có nghĩa là gì?,Kích thước lý thuyết/điểm tham chiếu xác định vị trí đặc tính,Luôn là mặt gia công,Luôn là lỗ,Luôn là bề mặt bóng,A,"Trong GD&T, basic dimension xác định vị trí lý thuyết.",technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
78,C. Dung sai kích thước,Basic dimension,Intermediate,Basic dimension 50.00 không có ± trên bản thân nó có nghĩa gì?,Vị trí/kích thước lý thuyết được điều khiển bởi dung sai hình học hoặc yêu cầu khác,Luôn dung sai ±0.01,Không có ý nghĩa,Là kích thước reference,A,Basic dimension thường kết hợp với GD&T.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
79,C. Dung sai kích thước,Bilateral,Intermediate,± tolerance là dạng gì?,Bilateral tolerance,Unilateral tolerance,Limit dimension,Geometric datum,A,± cho phép sai lệch hai phía bằng nhau.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
80,C. Dung sai kích thước,Unilateral,Intermediate,10 +0.03/-0.00 là dạng gì?,Unilateral tolerance,Bilateral tolerance,Geometric tolerance,Reference,A,Chỉ cho phép sai lệch một phía.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
81,C. Dung sai kích thước,Limits,Intermediate,9.98–10.02 có total tolerance là?,0.02,0.04,10.00,0.20,B,10.02 - 9.98 = 0.04.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
82,C. Dung sai kích thước,Limits,Intermediate,Một kích thước 25 +0.10/-0.20 có total tolerance là?,0.10,0.20,0.30,25.30,C,0.10 + 0.20 = 0.30.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
83,C. Dung sai kích thước,Temperature,Intermediate,Đo chi tiết chính xác cao ở nhiệt độ khác nhiều so với nhiệt độ chuẩn có thể gây gì?,Sai số do giãn nở nhiệt,Không ảnh hưởng,Chỉ ảnh hưởng màu,Tăng dung sai bản vẽ,A,Kích thước vật liệu thay đổi theo nhiệt độ.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
