no,category,subcategory,level,question,A,B,C,D,correct,explanation,terms
11,A. Kiến thức cơ khí cơ bản,Process,Basic,Tiện CNC phù hợp đặc biệt với chi tiết nào?,Chi tiết tròn xoay,Tấm phẳng lớn,Mối hàn,Chi tiết chỉ có mặt phẳng,A,Tiện rất phù hợp với các bề mặt tròn xoay.,CNC = điều khiển số máy tính
12,A. Kiến thức cơ khí cơ bản,Measurement,Basic,Panme ngoài dùng chủ yếu để đo gì?,Chiều dài/đường kính ngoài chính xác,Nhiệt độ,Độ nhám,Độ cứng,A,Panme ngoài dùng để đo kích thước ngoài với độ chính xác cao.,dimension = kích thước; thread = ren; surface roughness = độ nhám bề mặt
13,A. Kiến thức cơ khí cơ bản,Measurement,Basic,Thước cặp có thể dùng để đo gì?,Chỉ đường kính ngoài,"Ngoài, trong và chiều sâu",Kích thước danh nghĩa,Chỉ góc,B,"Thước cặp có mỏ ngoài, mỏ trong và thanh đo sâu.",dimension = kích thước; thread = ren; surface roughness = độ nhám bề mặt
14,A. Kiến thức cơ khí cơ bản,Drawing,Basic,Mặt cắt trên bản vẽ nhằm mục đích chính nào?,Trang trí,Thể hiện cấu tạo bên trong,Thay đổi vật liệu,Xác định giá bán,B,Mặt cắt giúp thể hiện các đặc điểm bên trong khó thấy.,dimension = kích thước; thread = ren; surface roughness = độ nhám bề mặt
15,A. Kiến thức cơ khí cơ bản,Drawing,Basic,Nét đứt trên bản vẽ thường biểu diễn gì?,Đường bao thấy,Đường bao khuất,Đường tâm,Đường kích thước,B,Nét đứt thường dùng cho đường bao/chi tiết khuất.,dimension = kích thước; thread = ren; surface roughness = độ nhám bề mặt
16,A. Kiến thức cơ khí cơ bản,Drawing,Basic,Nét gạch chấm mảnh thường dùng cho gì?,Đường tâm,Đường bao thấy,Mặt cắt vật liệu,Đường kích thước,A,Nét gạch chấm mảnh thường biểu diễn đường tâm/trục.,dimension = kích thước; thread = ren; surface roughness = độ nhám bề mặt
17,A. Kiến thức cơ khí cơ bản,Safety,Basic,"Khi phát hiện kích thước trên bản vẽ mâu thuẫn, hành động phù hợp là gì?",Tự chọn kích thước mình thích,Xác nhận với người có thẩm quyền/nguồn dữ liệu kiểm soát,Bỏ qua,Kích thước danh nghĩa,B,Mâu thuẫn phải được xử lý theo quy trình kiểm soát thay đổi và dữ liệu.,dimension = kích thước; thread = ren; surface roughness = độ nhám bề mặt
18,A. Kiến thức cơ khí cơ bản,Design,Basic,DFM là viết tắt của gì?,Design for Manufacturing,Drawing for Measurement,Data for Material,Design for Marketing,A,DFM = Design for Manufacturing.,DFM = thiết kế thuận lợi cho chế tạo
19,A. Kiến thức cơ khí cơ bản,Design,Basic,Mục tiêu của DFM là gì?,Làm chi tiết khó gia công hơn,"Thiết kế thuận lợi cho chế tạo, chất lượng và chi phí",Chỉ tăng số lượng kích thước,Loại bỏ kiểm tra,B,DFM giúp thiết kế phù hợp với khả năng sản xuất.,DFM = thiết kế thuận lợi cho chế tạo
20,A. Kiến thức cơ khí cơ bản,Process,Basic,Bavia sau gia công là gì?,Phần vật liệu dư sắc ở mép,Lớp anodize,Độ cứng,Đường tâm,A,Bavia là vật liệu dư thường xuất hiện tại mép sau gia công.,dimension = kích thước; thread = ren; surface roughness = độ nhám bề mặt
21,A. Kiến thức cơ khí cơ bản,Heat treatment,Basic,Mục đích chung của nhiệt luyện là gì?,Thay đổi cơ tính/cấu trúc vật liệu,Đổi mã bản vẽ,Tăng số lượng lỗ,Tạo PMI,A,"Nhiệt luyện có thể điều chỉnh độ cứng, độ bền và tổ chức vật liệu.",dimension = kích thước; thread = ren; surface roughness = độ nhám bề mặt
22,A. Kiến thức cơ khí cơ bản,Corrosion,Basic,Passivation thường áp dụng cho nhóm vật liệu nào?,Thép không gỉ,Kích thước danh nghĩa,Nhựa ABS,Kính,A,Passivation phổ biến cho thép không gỉ để cải thiện khả năng chống ăn mòn.,passivation = thụ động hóa
23,A. Kiến thức cơ khí cơ bản,Aluminum,Basic,Anodizing nhôm là quá trình gì?,Tạo lớp oxide có kiểm soát trên bề mặt,Mạ vàng bằng cơ học,Nhiệt luyện thép,Hàn nhôm,A,Anodizing tạo lớp oxide bảo vệ và có thể tạo màu.,anodizing = anod hóa
24,A. Kiến thức cơ khí cơ bản,Inspection,Basic,Một kích thước nằm ngoài giới hạn bản vẽ được đánh giá thế nào?,Kích thước danh nghĩa,NG nếu không có yêu cầu/điều kiện chấp nhận khác,Không cần đo lại,Đường kính và bán kính,B,Kích thước ngoài giới hạn dung sai là không phù hợp.,dimension = kích thước; thread = ren; surface roughness = độ nhám bề mặt
25,A. Kiến thức cơ khí cơ bản,Quality,Basic,Traceability trong kỹ thuật nghĩa gần nhất là gì?,Khả năng truy xuất nguồn gốc và liên kết dữ liệu,Tăng tốc độ máy,Tăng độ bóng,Giảm số bản vẽ,A,"Traceability cho phép truy ngược dữ liệu, revision và nguồn liên quan.",revision = phiên bản
26,B. Đọc bản vẽ cơ khí,Drawing symbols,Basic,Kích thước cơ bản (basic dimension) trong GD&T thường được biểu diễn như thế nào?,Trong khung chữ nhật,Trong vòng tròn,Gạch chân,Nét đứt,A,Basic dimension thường được bao bởi khung chữ nhật.,GD&T = dung sai hình học
27,B. Đọc bản vẽ cơ khí,Drawing symbols,Basic,Một kích thước reference thường dùng để làm gì?,"Tham khảo, không phải kích thước điều khiển trực tiếp",Revision và trạng thái phát hành,Thay datum,Kích thước và dung sai,A,Reference dimension chủ yếu cung cấp thông tin tham khảo.,drawing = bản vẽ; revision = phiên bản; section view = hình cắt
28,B. Đọc bản vẽ cơ khí,Drawing,Basic,Title block thường chứa thông tin nào?,"Tên chi tiết, mã, revision, vật liệu hoặc thông tin bản vẽ",Revision và trạng thái phát hành,Chỉ số máy CNC,Chỉ tên người đo,A,Title block thường chứa thông tin nhận dạng và kiểm soát bản vẽ.,title block = khung tên
29,B. Đọc bản vẽ cơ khí,Revision,Intermediate,Revision trên bản vẽ dùng để làm gì?,Nhận biết phiên bản thay đổi,Đo độ phẳng,Xác định tốc độ cắt,Xác định máy đo,A,Revision giúp phân biệt và truy xuất phiên bản.,revision = phiên bản
30,B. Đọc bản vẽ cơ khí,Revision,Intermediate,"Khi nhận bản vẽ khách hàng mới revision, việc đầu tiên nên làm là gì?",Kiểm tra/đăng ký revision theo quy trình kiểm soát tài liệu,Revision và trạng thái phát hành,Gia công ngay,Đổi tên ngẫu nhiên,A,Cần kiểm soát phiên bản trước khi sử dụng.,revision = phiên bản
31,B. Đọc bản vẽ cơ khí,Drawing,Basic,General tolerance có vai trò gì?,Áp dụng cho kích thước không có dung sai riêng nếu tiêu chuẩn bản vẽ quy định,Revision và trạng thái phát hành,Chỉ áp dụng cho vật liệu,Chỉ áp dụng cho ren,A,Dung sai chung thường áp dụng cho kích thước không có dung sai riêng.,tolerance = dung sai kích thước
32,B. Đọc bản vẽ cơ khí,Drawing,Basic,"Nếu kích thước có dung sai riêng và đồng thời có dung sai chung, thông thường ưu tiên gì?",Dung sai riêng trên kích thước,Dung sai chung,Tự chọn,Không có dung sai,A,Dung sai riêng cụ thể thường được ưu tiên.,drawing = bản vẽ; revision = phiên bản; dimension = kích thước
33,B. Đọc bản vẽ cơ khí,Section,Intermediate,Đường hatch trong mặt cắt thường biểu thị gì?,Vùng vật liệu bị cắt,Đường tâm,Đường kích thước,Đường ren,A,Hatch giúp nhận biết vùng vật liệu bị mặt phẳng cắt đi qua.,drawing = bản vẽ; revision = phiên bản; dimension = kích thước
34,B. Đọc bản vẽ cơ khí,Hole,Intermediate,Callout Ø10 THRU nghĩa là gì?,Lỗ đường kính 10 mm xuyên qua chi tiết,Lỗ sâu 10 mm,Ren M10,Bán kính 10,A,THRU nghĩa là lỗ xuyên suốt.,drawing = bản vẽ; revision = phiên bản; dimension = kích thước
35,B. Đọc bản vẽ cơ khí,Hole,Intermediate,Blind hole là gì?,Lỗ không xuyên suốt,Lỗ xuyên suốt,Lỗ ren ngoài,Lỗ hình vuông,A,Blind hole có đáy và không xuyên qua toàn bộ chi tiết.,drawing = bản vẽ; revision = phiên bản; dimension = kích thước
36,B. Đọc bản vẽ cơ khí,Hole,Intermediate,Counterbore thường tạo gì?,Hốc trụ đồng tâm với lỗ,Vát mép,Ren ngoài,Rãnh then,A,Counterbore tạo hốc trụ để đầu vít/bu lông nằm chìm.,drawing = bản vẽ; revision = phiên bản; dimension = kích thước
37,B. Đọc bản vẽ cơ khí,Hole,Intermediate,Countersink thường tạo gì?,Hốc côn,Hốc trụ,Rãnh vuông,Mặt phẳng chuẩn,A,Countersink là hốc dạng côn.,drawing = bản vẽ; revision = phiên bản; dimension = kích thước
38,B. Đọc bản vẽ cơ khí,Chamfer,Intermediate,1×45° trên mép thường có nghĩa gì?,Vát mép 1 mm ở góc 45°,Bo R1,Độ nhám 1,Độ sâu 45 mm,A,Đây là cách ghi phổ biến cho chamfer.,drawing = bản vẽ; revision = phiên bản; dimension = kích thước
39,B. Đọc bản vẽ cơ khí,Fillet,Intermediate,R2 thường yêu cầu gì?,Bo bán kính 2 mm,Vát 2 mm,Đường kính 2 mm,Ren 2 mm,A,R2 là bán kính bo 2 mm.,drawing = bản vẽ; revision = phiên bản; dimension = kích thước
40,B. Đọc bản vẽ cơ khí,Thread,Intermediate,M6×1-6H thường chứa thông tin nào?,"Ren trong hệ mét, đường kính danh nghĩa 6 mm, bước 1 mm, cấp dung sai 6H",Ren ngoài 6 mm,Lỗ Ø1,Độ nhám 6H,A,M6×1 là kích thước ren; 6H là cấp dung sai ren trong.,drawing = bản vẽ; revision = phiên bản; dimension = kích thước
41,B. Đọc bản vẽ cơ khí,Drawing,Basic,Ký hiệu depth trên lỗ mù cho biết gì?,Chiều sâu gia công/đặc tính được chỉ định,Đường kính ngoài,Độ nhám,Datum,A,Depth dùng để chỉ chiều sâu.,drawing = bản vẽ; revision = phiên bản; dimension = kích thước
42,B. Đọc bản vẽ cơ khí,Drawing,Basic,Center mark/crosshair trong bản vẽ thường giúp gì?,Xác định tâm đặc tính tròn/lỗ,Xác định vật liệu,Xác định độ cứng,Xác định revision,A,Center mark giúp xác định tâm.,drawing = bản vẽ; revision = phiên bản; dimension = kích thước
43,B. Đọc bản vẽ cơ khí,Drawing,Basic,Kích thước chuỗi (chain dimensioning) có nhược điểm gì?,Có thể tích lũy dung sai,Không thể đo,Không dùng được CNC,Không có đơn vị,A,Dung sai các đoạn có thể cộng dồn theo chuỗi.,drawing = bản vẽ; revision = phiên bản; section view = hình cắt
44,B. Đọc bản vẽ cơ khí,Tolerance,Intermediate,Baseline dimensioning thường có lợi điểm gì?,Giảm ảnh hưởng tích lũy từ các kích thước liên tiếp,Không cần datum,Không cần dung sai,Chỉ dùng cho ren,A,Các kích thước cùng tham chiếu một đường/điểm cơ sở.,drawing = bản vẽ; revision = phiên bản; section view = hình cắt
45,B. Đọc bản vẽ cơ khí,Drawing,Basic,Một drawing note có thể quy định điều gì?,"Yêu cầu chung như vật liệu, xử lý, kiểm tra hoặc gia công",Chỉ kích thước X,Revision và trạng thái phát hành,Chỉ tên người thiết kế,A,Notes có thể chứa nhiều yêu cầu kỹ thuật chung.,drawing = bản vẽ; drawing note = ghi chú bản vẽ
46,B. Đọc bản vẽ cơ khí,Inspection,Intermediate,"Khi drawing yêu cầu một đặc tính hình học, chỉ đo kích thước tuyến tính có đủ không?",Không nhất thiết,Revision và trạng thái phát hành,Kích thước và dung sai,Chỉ cần nhìn bằng mắt,A,GD&T kiểm soát các đặc tính hình học và cần phương pháp đo phù hợp.,GD&T = dung sai hình học
47,B. Đọc bản vẽ cơ khí,Drawing,Basic,Đường kích thước thường kết thúc bằng gì?,Mũi tên/đầu mũi tên theo tiêu chuẩn,Hình vuông bắt buộc,Vòng tròn,Datum A,A,Đường kích thước thường có arrowheads.,drawing = bản vẽ; revision = phiên bản; dimension = kích thước
48,B. Đọc bản vẽ cơ khí,Drawing,Basic,Mục đích chính của drawing review trước sản xuất là gì?,"Xác nhận yêu cầu kỹ thuật, khả năng chế tạo và điểm kiểm soát",Chỉ kiểm tra chính tả,Chỉ kiểm tra màu,Chỉ đổi tên file,A,Review giúp phát hiện vấn đề trước sản xuất.,drawing = bản vẽ
49,B. Đọc bản vẽ cơ khí,Document control,Intermediate,Không nên sử dụng file customer drawing nào khi revision mới đã phát hành?,Bản cũ chưa được xác nhận còn hiệu lực,Bản hiện hành,Bản được kiểm soát,Bản đã phê duyệt,A,Bản cũ phải được kiểm soát trạng thái để tránh dùng nhầm.,drawing = bản vẽ; revision = phiên bản
50,C. Dung sai kích thước,Limits,Intermediate,50 ±0.05 có giới hạn nào?,49.95–50.05,49.90–50.10,50.00–50.05,49.50–50.50,A,Cộng/trừ 0.05 vào kích thước danh nghĩa 50.,tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
51,C. Dung sai kích thước,Limits,Intermediate,20 +0.02/-0.00 có giới hạn nào?,20.00–20.02,19.98–20.02,19.98–20.00,20.02–20.04,A,Dung sai trên +0.02 và dưới 0.,tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
52,C. Dung sai kích thước,Limits,Intermediate,30 +0.00/-0.03 có giới hạn nào?,29.97–30.00,30.00–30.03,29.95–30.05,29.97–30.03,A,Giới hạn dưới = 30-0.03; giới hạn trên = 30.,tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
53,C. Dung sai kích thước,Tolerance,Intermediate,Dung sai kích thước tổng cộng của 50 ±0.05 là bao nhiêu?,0.05,0.10,0.15,1.00,B,Khoảng từ 49.95 đến 50.05 là 0.10 mm.,tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
54,C. Dung sai kích thước,Tolerance,Intermediate,Kích thước 100 ±0.2 có tolerance zone width bằng bao nhiêu?,0.2,0.4,100.2,99.8,B,Giới hạn 99.8 và 100.2 tạo vùng rộng 0.4 mm.,tolerance = dung sai kích thước
55,C. Dung sai kích thước,Limits,Intermediate,Kích thước thực 20.018 với yêu cầu 20.00–20.02 là gì?,OK,NG,Không xác định,Kích thước danh nghĩa,A,20.018 nằm trong giới hạn.,tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
56,C. Dung sai kích thước,Limits,Intermediate,Kích thước thực 20.025 với yêu cầu 20.00–20.02 là gì?,OK,NG,OK nếu máy CNC tốt,Không thể kết luận,B,20.025 vượt giới hạn trên.,tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
57,C. Dung sai kích thước,Limits,Intermediate,Kích thước thực 19.995 với yêu cầu 20 +0.02/-0.00 là gì?,OK,NG,Chỉ NG nếu Ra xấu,Không xác định,B,Giới hạn dưới là 20.00 mm.,tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
58,C. Dung sai kích thước,Fits,Intermediate,Clearance fit nghĩa là gì?,Luôn có khe hở trong điều kiện thiết kế quy định,Kích thước danh nghĩa,Không có dung sai,Chỉ dùng cho ren,A,Clearance fit được thiết kế để có khe hở.,fit = kiểu lắp
59,C. Dung sai kích thước,Fits,Intermediate,Interference fit nghĩa là gì?,Có độ dôi/cản trở khi lắp,Kích thước danh nghĩa,Không có tiếp xúc,Chỉ dùng cho nhựa,A,Interference fit yêu cầu kích thước gây độ dôi.,fit = kiểu lắp
60,C. Dung sai kích thước,Fits,Intermediate,Transition fit có đặc điểm gì?,Có thể cho khe hở nhỏ hoặc độ dôi nhỏ tùy kích thước thực,Kích thước danh nghĩa,Giới hạn trên của kích thước,Không có dung sai,A,Transition fit nằm giữa clearance và interference.,fit = kiểu lắp
61,C. Dung sai kích thước,ISO fits,Intermediate,"Trong hệ ISO, H cho lỗ thường có sai lệch dưới bằng gì?",0,-IT,+IT,Không xác định,A,H hole có lower deviation bằng 0.,tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
62,C. Dung sai kích thước,ISO fits,Intermediate,"Trong hệ ISO, h cho trục thường có sai lệch trên bằng gì?",0,+IT,-IT,+0.5,A,h shaft có upper deviation bằng 0.,tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
63,C. Dung sai kích thước,ISO fits,Intermediate,Ký hiệu 6H thường liên quan đến gì?,Cấp dung sai ren trong,Độ nhám,Độ cứng,Vật liệu,A,6H là class/tolerance position cho ren trong hệ mét.,GD&T = dung sai hình học; datum = chuẩn; tolerance zone = vùng dung sai
64,C. Dung sai kích thước,ISO fits,Intermediate,IT grade biểu thị chủ yếu gì?,Cấp dung sai kích thước,Loại vật liệu,Độ nhám,Kiểu ren,A,IT grade là cấp dung sai tiêu chuẩn.,tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
65,C. Dung sai kích thước,Stack-up,Intermediate,"Trong worst-case tolerance stack-up, các dung sai tuyến tính cùng chiều thường được xử lý thế nào?",Cộng đại số theo chiều bất lợi,Kích thước danh nghĩa,Nhân với nhau,Bỏ qua,A,Worst-case xét tổ hợp bất lợi nhất.,tolerance = dung sai kích thước; stack-up = tích lũy dung sai
66,C. Dung sai kích thước,Stack-up,Intermediate,20 ±0.1 + 30 ±0.2: kích thước tổng danh nghĩa là?,50,49,51,5,A,20 + 30 = 50.,tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
67,C. Dung sai kích thước,Stack-up,Intermediate,20 ±0.1 + 30 ±0.2: tổng dung sai theo worst-case là?,±0.1,±0.2,±0.3,±0.4,C,Sai lệch cực đại cùng chiều: 0.1+0.2=0.3.,tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
68,C. Dung sai kích thước,Stack-up,Intermediate,20 ±0.1 - 30 ±0.2: biên sai lệch worst-case của hiệu là?,±0.1,±0.2,±0.3,±0.4,C,"Khi xét worst-case, độ lớn dung sai vẫn cộng: 0.1+0.2.",tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
69,C. Dung sai kích thước,Stack-up,Intermediate,"Một chuỗi 4 kích thước đều ±0.05, worst-case tổng tolerance magnitude là?",±0.05,±0.10,±0.20,±0.40,C,Bốn thành phần ×0.05 = 0.20.,tolerance = dung sai kích thước
70,C. Dung sai kích thước,Statistical,Intermediate,RSS stack-up khác worst-case ở điểm nào?,Dùng căn tổng bình phương dung sai/độ lệch chuẩn theo mô hình thống kê,Kích thước danh nghĩa,Không cần giả định,Chỉ dùng cho ren,A,"RSS là phương pháp thống kê, thường nhỏ hơn worst-case khi giả định phù hợp.",stack-up = tích lũy dung sai
71,C. Dung sai kích thước,Hole shaft,Intermediate,Hole Ø20 H7 và shaft Ø20 h6 có đặc trưng gì?,Clearance fit,Interference fit,Không thể lắp,Không có dung sai,A,H7/h6 tạo khe hở vì H hole không nhỏ hơn nominal và h shaft không lớn hơn nominal.,nominal = kích thước danh nghĩa
72,C. Dung sai kích thước,Hole shaft,Intermediate,Hole Ø20 H7 có kích thước thấp nhất theo nguyên tắc H là?,20.000 mm,19.900 mm,20.100 mm,Không thể biết nếu thiếu IT,A,Lower deviation của H = 0; giới hạn dưới = nominal.,nominal = kích thước danh nghĩa
73,C. Dung sai kích thước,Limits,Intermediate,"Nếu lower limit = 9.95 và upper limit = 10.05, nominal target thường là?",10.00,9.95,10.05,20.00,A,Nominal nằm giữa hai giới hạn trong ví dụ đối xứng.,nominal = kích thước danh nghĩa; limit = giới hạn kích thước
74,C. Dung sai kích thước,Tolerance,Intermediate,Tightening tolerance nghĩa là gì?,Giảm độ rộng vùng dung sai,Tăng dung sai,Đổi vật liệu,Đổi datum,A,Tight tolerance làm vùng cho phép nhỏ hơn.,tolerance = dung sai kích thước
75,C. Dung sai kích thước,Tolerance,Intermediate,Dung sai quá chặt có thể gây ảnh hưởng gì?,Tăng chi phí gia công/đo và giảm khả năng sản xuất,Kích thước danh nghĩa,Giới hạn trên của kích thước,Tăng độ cứng vật liệu,A,Dung sai chặt thường yêu cầu quy trình và kiểm soát cao hơn.,tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
76,C. Dung sai kích thước,Tolerance,Intermediate,Dung sai quá rộng có thể gây gì?,Chức năng/lắp ráp không đảm bảo,Kích thước danh nghĩa,Giảm mọi rủi ro,Giới hạn trên của kích thước,A,Dung sai phải phù hợp chức năng.,tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
77,C. Dung sai kích thước,Datum,Intermediate,Datum kích thước có nghĩa là gì?,Kích thước lý thuyết/điểm tham chiếu xác định vị trí đặc tính,Kích thước danh nghĩa,Giới hạn trên của kích thước,Giới hạn dưới của kích thước,A,"Trong GD&T, basic dimension xác định vị trí lý thuyết.",GD&T = dung sai hình học; datum = chuẩn
78,C. Dung sai kích thước,Basic dimension,Intermediate,Basic dimension 50.00 không có ± trên bản thân nó có nghĩa gì?,Vị trí/kích thước lý thuyết được điều khiển bởi dung sai hình học hoặc yêu cầu khác,Kích thước danh nghĩa,Không có ý nghĩa,Là kích thước reference,A,Basic dimension thường kết hợp với GD&T.,GD&T = dung sai hình học
79,C. Dung sai kích thước,Bilateral,Intermediate,± tolerance là dạng gì?,Bilateral tolerance,Unilateral tolerance,Limit dimension,Geometric datum,A,± cho phép sai lệch hai phía bằng nhau.,tolerance = dung sai kích thước
80,C. Dung sai kích thước,Unilateral,Intermediate,10 +0.03/-0.00 là dạng gì?,Unilateral tolerance,Bilateral tolerance,Geometric tolerance,Reference,A,Chỉ cho phép sai lệch một phía.,tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
81,C. Dung sai kích thước,Limits,Intermediate,9.98–10.02 có total tolerance là?,0.02,0.04,10.00,0.20,B,10.02 - 9.98 = 0.04.,tolerance = dung sai kích thước
82,C. Dung sai kích thước,Limits,Intermediate,Một kích thước 25 +0.10/-0.20 có total tolerance là?,0.10,0.20,0.30,25.30,C,0.10 + 0.20 = 0.30.,tolerance = dung sai kích thước
83,C. Dung sai kích thước,Temperature,Intermediate,Đo chi tiết chính xác cao ở nhiệt độ khác nhiều so với nhiệt độ chuẩn có thể gây gì?,Sai số do giãn nở nhiệt,Kích thước danh nghĩa,Chỉ ảnh hưởng màu,Tăng dung sai bản vẽ,A,Kích thước vật liệu thay đổi theo nhiệt độ.,tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
84,C. Dung sai kích thước,Measurement,Intermediate,"Khi đo lỗ bằng dụng cụ phù hợp, nên kiểm tra nhiều hướng khi cần để phát hiện gì?",Độ oval/taper hoặc biến dạng,Revision,Vật liệu,Tên người thiết kế,A,Đo nhiều vị trí/hướng giúp phát hiện sai lệch hình học.,tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
85,C. Dung sai kích thước,Process capability,Intermediate,Cp/Cpk dùng chủ yếu để đánh giá gì?,Khả năng quá trình so với giới hạn kỹ thuật,Độ nhám trực tiếp,Độ cứng,Mã bản vẽ,A,Cp/Cpk là chỉ số năng lực quá trình.,tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
86,C. Dung sai kích thước,Process capability,Intermediate,Cpk khác Cp ở điểm quan trọng nào?,Cpk xét cả độ lệch tâm của quá trình,Cpk bỏ qua trung bình,Cp luôn nhỏ hơn,Cp chỉ dùng cho ren,A,Cpk phản ánh cả độ phân tán và vị trí trung bình so với giới hạn.,tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
87,C. Dung sai kích thước,Tolerance,Intermediate,Một dung sai ±0.01 trên kích thước 100 có total tolerance bao nhiêu?,0.01,0.02,0.10,1.00,B,100.01 - 99.99 = 0.02.,tolerance = dung sai kích thước
88,C. Dung sai kích thước,Tolerance,Intermediate,"Nếu yêu cầu chức năng không cần dung sai ±0.01, lựa chọn tốt hơn thường là gì?",Dùng dung sai phù hợp khả năng sản xuất và chức năng,Kích thước danh nghĩa,Không ghi dung sai,Xóa kích thước,A,Dung sai nên vừa đủ cho chức năng để tránh chi phí không cần thiết.,tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
89,C. Dung sai kích thước,Tolerance,Intermediate,"Khi một kích thước có giới hạn min/max rõ ràng, giá trị đúng bằng giới hạn có được chấp nhận không?","Thông thường có, nếu tiêu chuẩn không quy định khác",Kích thước danh nghĩa,Giới hạn trên của kích thước,Giới hạn dưới của kích thước,A,Giá trị tại limit nằm trong vùng giới hạn.,tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
90,C. Dung sai kích thước,Tolerance,Intermediate,Nominal size là gì?,Kích thước danh nghĩa dùng làm cơ sở gọi tên/kích thước,Kích thước đo nhỏ nhất,Kích thước đo lớn nhất,Độ nhám,A,Nominal là kích thước danh nghĩa.,nominal = kích thước danh nghĩa
91,C. Dung sai kích thước,Tolerance,Intermediate,Actual size là gì?,Kích thước thực tế được xác định bằng đo/đánh giá,Kích thước danh nghĩa,Dung sai tổng,Basic dimension,A,Actual size là giá trị thực tế của đặc tính.,tolerance = dung sai; nominal = danh nghĩa; limit = giới hạn
